german_idiom	translation	letters_only	length
Wir wollen keine unnötige Aufmerksamkeit auf uns lenken.	We don’t want to draw undue attention to ourselves.	wirwollenkeineunnötigeaufmerksamkeitaufunslenken	48
Wie neugeboren	As fit as a fiddle	wieneugeboren	13
Es hat gewisse Nachteile.	It has its drawbacks.	eshatgewissenachteile	21
Es hat seine Vorteile	There’s something to be said for it	eshatseinevorteile	18
Wir kommen schon klar.	We’ll sort ourselves out.	wirkommenschonklar	18
Ich kann ihm nicht ins Gesicht sehen.	I can’t look him in the eyes.	ichkannihmnichtinsgesichtsehen	30
Das meinst du doch nicht im Ernst?	You’re not being serious?	dasmeinstdudochnichtimernst	27
Was hat das mit mir zu tun? – Jede Menge.	What has this to do with me? – Everything.	washatdasmitmirzutunjedemenge	29
Wer das tut, den erwürge ich.	If anybody does this, I’ll throttle him.	werdastutdenerwürgeich	22
Halt den Mund!	Shut up! // Shut it! // Hold/Stop your jaw. // Shut your face.	haltdenmund	11
Wenn er doch nur sein Maul hielte!	I wish he kept his gob shut!	wennerdochnurseinmaulhielte	27
Lass die Vergangenheit ruhen.	Let by-gones be by-gones.	lassdievergangenheitruhen	25
Wir brauchen jetzt keine großen Sprüche.	This is no time for high-sounding phrases.	wirbrauchenjetztkeinegroßensprüche	34
Hand vor den Mund!	Cover your mouth when you’re yawning.	handvordenmund	14
Es wirkt Wunder.	It works marvels/wonders.	eswirktwunder	13
Es wirkt Wunder bei ...	It works wonders with ...	eswirktwunderbei	16
Wunder über Wunder.	Wonders upon wonders.	wunderüberwunder	16
Ein wahres Wunder vollbringen	Pull off a minor miracle	einwahreswundervollbringen	26
Beeil dich.	Get a move on.	beeildich	9
Schnell.	Chop-chop.	schnell	7
Das ist sein Werk.	This is his handiwork/doing.	dasistseinwerk	14
Hallo!	Wotcher!	hallo	5
N’Abend!	‘Evening!	nabend	6
Verdammte Scheiße!	Fucking shit!	verdammtescheiße	16
Das sind wir los.	That’s disposed of. That’s got rid of.	dassindwirlos	13
Ist das Ihr einziges Auto oder was?	Is this the only car you’ve got or something?	istdasihreinzigesautooderwas	28
Das hat sich ja schnell herumgesprochen.	News travels.	dashatsichjaschnellherumgesprochen	34
Was findet sie nur an ihm?	What does she see in him?	wasfindetsienuranihm	20
Er hat etwas.	He’s got a certain something.	erhatetwas	10
Es ist grotesk.	It’s preposterous.	esistgrotesk	12
Wenn du nicht aufpasst, wird es noch einmal ein schlimmes Ende mit dir nehmen.	If you don’t watch out you’ll come to a sticky end.	wenndunichtaufpasstwirdesnocheinmaleinschlimmesendemitdirnehmen	63
Wenn ich das Weib erwische.	If I ever lay (my) hands on that female. If I ever get my hands on that female.	wennichdasweiberwische	22
Morgen kann ich nicht.	I can’t make it tomorrow.	morgenkannichnicht	18
Was wollen Sie von mir?	What do you want with me?	waswollensievonmir	18
Du bist heute abend richtig aufgeblüht.	You’ve really blossomed this evening.	dubistheuteabendrichtigaufgeblüht	33
Ich bin in Ungnade gefallen.	I’m in disgrace.	ichbininungnadegefallen	23
Du sagst doch Peter nichts davon, nicht wahr?	You won’t breathe a word of this to Peter, will you?	dusagstdochpeternichtsdavonnichtwahr	36
Erzähl das nicht weiter.	This must go no further.	erzähldasnichtweiter	20
Einen Augenblick/Moment.	Half a mo(‘)! colloquial	einenaugenblickmoment	21
Es ist eine miese Spelunke.	It’s a dump of a pub.	esisteinemiesespelunke	22
Das weiß doch jeder.	Common knowledge.	dasweißdochjeder	16
Seit wann, wenn ich fragen darf?	Since when, may I ask?	seitwannwennichfragendarf	25
Das ist mir völlig egal/schnurz.	I don’t care a fig/hang/hoot / tinker’s cuss.	dasistmirvölligegalschnurz	26
Was du machst, ist deine Sache.	What you do is your affair.	wasdumachstistdeinesache	24
Wehe dir, wenn ...	Woe betide you if ...	wehedirwenn	11
Ich bin verloren!	I’m done for.	ichbinverloren	14
Wie aufmerksam.	How thoughtful.	wieaufmerksam	13
Ich wette 1000 Pfund mit dir, dass ...	I’m willing to bet you 1000 pounds that ...	ichwettepfundmitdirdass	23
Ich bin ganz sicher.	I’m positive.	ichbinganzsicher	16
Er hat ganz recht.	Dead right he is.	erhatganzrecht	14
Das stimmt.	You’re correct.	dasstimmt	9
Du bist wohl lebensmüde?	You’re tired of living, are you?	dubistwohllebensmüde	20
Ich verstehe nicht ganz, was du meinst.	I’m not quite with you.	ichverstehenichtganzwasdumeinst	31
Sehr geistreich!	Very witty!	sehrgeistreich	14
Quasseln	Chin // jaw slang	quasseln	8
Quatschen	Chin // jaw slang	quatschen	9
Sie ist ständig am Quatschen.	She’s always jawing about something.	sieistständigamquatschen	24
Was faselst du da?	What are you babbling about?	wasfaselstduda	14
Hör auf mit dem Geplapper!	Cease your prattle.	höraufmitdemgeplapper	21
Wer dumme Fragen stellt ...	Ask a silly question ...	werdummefragenstellt	20
Irgend so einen Unsinn.	Some such nonsense.	irgendsoeinenunsinn	19
Rede nicht einen solchen Unsinn.	Don’t talk stupid.	redenichteinensolchenunsinn	27
Totaler Unfug	Perfect nonsense	totalerunfug	12
Was für ein ausgemachter Unsinn!	What arrant nonsense!	wasfüreinausgemachterunsinn	27
Völliger Blödsinn!	Sheer poppycock!	völligerblödsinn	16
Erzähl keinen Scheiß!	Don’t gimme that shit!	erzählkeinenscheiß	18
Das gibt’s doch nicht!	Get off/away! // Go on with you! // You don’t say!	dasgibtsdochnicht	17
Das glaubst du doch selber nicht!	Get off/away! // Go on with you! // You don’t say!	dasglaubstdudochselbernicht	27
Wann hast du es schließlich kapiert?	At what point did you finally twig?	wannhastduesschließlichkapiert	30
Wie kannst du nur so dumm sein?	How can you be so dumb?	wiekannstdunursodummsein	24
Sei kein Dummkopf.	Don’t be a pratt.	seikeindummkopf	15
Ein Dummkopf wie du	A fool like yourself	eindummkopfwiedu	16
Sei nicht albern.	Don’t be daft.	seinichtalbern	14
Du ungeschickter Tölpel.	You clumsy/bungling oaf.	duungeschicktertölpel	21
Du mieser Feigling!	You rotten coward!	dumieserfeigling	16
Weißt du was? – Was denn?	You know something? – What’s that?	weißtduwaswasdenn	17
Und, gibt’s was Neues?	Well, any news?	undgibtswasneues	16
Ich komme noch um vor Spannung.	The suspense is killing me.	ichkommenochumvorspannung	25
Wollen Sie mitkommen? – Nein, danke. Fischen ist nicht meine Sache.	Would you join me? – No thanks, it’s not my bag, fishing.	wollensiemitkommenneindankefischenistnichtmeinesache	52
Mathe büffeln/pauken	Swat up on/one’s maths	mathebüffelnpauken	18
Ein verlorener Sohn	Prodigal son	einverlorenersohn	17
Mit einer Mathematikaufgabe kämpfen	Wrestle with a mathematical problem	miteinermathematikaufgabekämpfen	32
Jmdm. das Blut in den Adern gefrieren lassen	Make s.o.’s blood run cold	jmdmdasblutindenaderngefrierenlassen	36
Jmdm. kalte Schauer über den Rücken jagen	Send shivers down s.o.’s spine	jmdmkalteschauerüberdenrückenjagen	34
Ich spürte, wie es mir kalt über den Rücken lief	I felt a chill run down my spine	ichspürtewieesmirkaltüberdenrückenlief	38
Ohne mit der Wimper zu zucken	Without batting an eyelash/eyelid	ohnemitderwimperzuzucken	24
In aller Munde sein	Be the talk of the town	inallermundesein	16
Jmdm. zu denken geben	Give s.o. food for thought	jmdmzudenkengeben	17
Jmdm. Paroli bieten	Stand up to s.o.	jmdmparolibieten	16
Sagen, was man denkt	Speak one’s mind	sagenwasmandenkt	16
Das Schöne an der Theorie ist, dass ...	The beauty of the theory is that ...	dasschöneandertheorieistdass	28
Er sieht den Wald vor (lauter) Bäumen nicht	He cannot see the wood for the trees	ersiehtdenwaldvorlauterbäumennicht	34
Man soll den Tag nicht vor dem Abend loben.	Don’t count your chickens before they are hatched.	mansolldentagnichtvordemabendloben	34
Morgenstund hat Gold im Mund.	The early bird catches the worm.	morgenstundhatgoldimmund	24
Wer zuerst kommt, malt zuerst.	First come, first served.	werzuerstkommtmaltzuerst	24
Jeder ist sich selbst der Nächste.	Charity begins at home.	jederistsichselbstdernächste	28
Ehrlich währt am längsten.	Honesty is the best policy.	ehrlichwährtamlängsten	22
Gegensätze ziehen sich an.	Opposites attract.	gegensätzeziehensichan	22
Probieren geht über Studieren.	The proof of the pudding is in the eating.	probierengehtüberstudieren	26
Der Krug geht so lange zum Brunnen, bis er bricht.	The last straw breaks the camel’s back.	derkruggehtsolangezumbrunnenbiserbricht	39
In der Not frisst der Teufel Fliegen.	Beggars cannot be choosers.	indernotfrisstderteufelfliegen	30
Reden ist Silber, Schweigen ist Gold.	Speech is silver, silence is golden.	redenistsilberschweigenistgold	30
Rache ist süß.	Revenge is sweet.	racheistsüß	11
Die Pflicht ruft.	Duty calls.	diepflichtruft	14
Er ist wie ein Elefant im Porzellanladen.	He is like a bull in a china shop.	eristwieeinelefantimporzellanladen	34
Gesagt, getan.	No sooner said than done.	gesagtgetan	11
Sich in Luft auflösen	Vanish/dissolve into thin air	sichinluftauflösen	18
Vom Erdboden verschwinden	Disappear off the face of the earth	vomerdbodenverschwinden	23
Auf der Hut sein	Be on the alert	aufderhutsein	13
Tausendundeine Nacht	The Arabian Nights // The Thousand and One Nights	tausendundeinenacht	19
Sich jmdn. vom Leibe halten	Keep s.o. at arm’s length	sichjmdnvomleibehalten	22
Jmdn. umlegen	Bump/finish s.o. off // croak s.o.	jmdnumlegen	11
Jmdm. eine ‘runterhauen	Fetch/bust s.o. one	jmdmeinerunterhauen	19
Jmdm. die Fresse polieren	Rearrange s.o.’s face	jmdmdiefressepolieren	21
Sich in die Höhle des Löwen begeben/wagen	Put one’s head (right) into the lion’s mouth	sichindiehöhledeslöwenbegebenwagen	34
Von etwas Wind bekommen	Get wind of s.th.	vonetwaswindbekommen	20
In den Himmel heben	Extol to the skies	indenhimmelheben	16
Ich schlage nach meinem Onkel	I take after my uncle	ichschlagenachmeinemonkel	25
Seine Nase in etwas stecken	Stick/poke one’s nose into s.th.	seinenaseinetwasstecken	23
Sich in alles einmischen	Stick one’s fingers in all the pies	sichinalleseinmischen	21
Er hat überall seine Finger drin.	He always has his finger in the pie.	erhatüberallseinefingerdrin	27
Ich zähle bis drei	I’ll count (up to) three	ichzählebisdrei	15
Sich zwischen zwei Stühle setzen	Fall between two stools	sichzwischenzweistühlesetzen	28
Zwei Leute, ein Gedanke	Two minds with one thought	zweileuteeingedanke	19
Ein Wort gibt das andere	Insult piling on insult	einwortgibtdasandere	20
Über etwas schlafen	Sleep on/over s.th.	überetwasschlafen	17
Auf frischer Tat ertappen	Catch in the act // catch red-handed	auffrischertatertappen	22
Sich dumm und dämlich essen	Eat o.s. silly	sichdummunddämlichessen	23
Etwas pfundeweise essen	Eat s.th. by the bucket	etwaspfundeweiseessen	21
Jede Menge von ..., ... in rauhen Mengen	... by the bucket(load)	jedemengevoninrauhenmengen	26
Scharenweise	In their scores	scharenweise	12
So zahlreich wie immer	As legion as ever	sozahlreichwieimmer	19
Grauzone	Grey area	grauzone	8
Dorftrottel	Village idiot	dorftrottel	11
Hofnarr	Court jester	hofnarr	7
Junges Ding	Young thing	jungesding	10
Ich bin nicht in Stimmung	I’m not in mood	ichbinnichtinstimmung	21
Jmdn. um den kleinen Finger wickeln	Twist s.o. round one’s little finger	jmdnumdenkleinenfingerwickeln	29
Ein Mann gehört nicht in die Küche.	A man’s place is not in the kitchen.	einmanngehörtnichtindieküche	28
Auf etwas Neues stoßen	Hit on s.th. new	aufetwasneuesstoßen	19
Jmdm. etwas ersparen	Save s.o. s.th.	jmdmetwasersparen	17
Das sollte ein Witz sein.	I was attempting a joke.	dassollteeinwitzsein	20
Ein abgedroschener Witz	A corny joke	einabgedroschenerwitz	21
Ein Witz mit Bart	A corny joke	einwitzmitbart	14
Der Witz hat keine Pointe	The joke does not have a point	derwitzhatkeinepointe	21
Der Witz ist etwas anzüglich/schlüpfrig	The joke is a bit on the spicy side	derwitzistetwasanzüglichschlüpfrig	34
Ein Zeichen meiner Anerkennung	A token of my appreciation	einzeichenmeineranerkennung	27
Darauf trinke ich	I’ll drink to that	darauftrinkeich	15
In der Patsche sitzen	Be in the soup	inderpatschesitzen	18
In der Klemme sein/stecken	Be in the soup	inderklemmeseinstecken	22
Dampf ablassen	Let off steam	dampfablassen	13
(in einem Gespräch) den Faden verlieren	Lose the thread of a conversation	ineinemgesprächdenfadenverlieren	32
Jmdm. in den Schoß fallen	Fall in s.o.’s lap	jmdmindenschoßfallen	20
In welchem Zusammenhang?	In what connection?	inwelchemzusammenhang	21
Im Zusammenhang mit	In connection with	imzusammenhangmit	17
Es geht immer alles schief	Things always go wrong	esgehtimmerallesschief	22
Jmdm. ein Dorn im Auge sein	Be a thorn in s.o.’s side/flesh	jmdmeindornimaugesein	21
Ein Problem unter den Teppich kehren	Brush a problem under the carpet	einproblemunterdenteppichkehren	31
So sieht’s aus	That’s the picture	sosiehtsaus	11
Mit einem Trick glänzen	Shine with a trick	miteinemtrickglänzen	20
Es ist eine Schande	It’s a disgrace	esisteineschande	16
Schande über jmdn. bringen	Bring shame on s.o.	schandeüberjmdnbringen	22
Lass es nicht an mir aus	Don’t let/take it out on me	lassesnichtanmiraus	19
Seine Frustration an jmdm. auslassen	Take/let one’s frustration out on s.o.	seinefrustrationanjmdmauslassen	31
In seinem Element sein	Be in one’s element	inseinemelementsein	19
Er ist einer von uns	He’s one of ours/us	eristeinervonuns	16
Das Blatt hat sich gewendet	The tables are turned	dasblatthatsichgewendet	23
Was wünscht du dir zu Weihnachten?	What do you want for Christmas?	waswünschtdudirzuweihnachten	28
Man ist/wird nie zu alt für Weihnachten	You never grow out of Christmas	manistwirdniezualtfürweihnachten	32
Hinter der Wahrheit her sein	Be after the truth	hinterderwahrheithersein	24
Die Wahrheit verzerren	Distort the truth	diewahrheitverzerren	20
Sich übernehmen/überschätzen	Bite up more than one can chew	sichübernehmenüberschätzen	26
Sich davonschleichen	Sneak off	sichdavonschleichen	19
..., (so) wie’s aussieht	..., by the look of it/things	sowiesaussieht	14
Sprachlos sein	Be stuck for words	sprachlossein	13
K-e Worte finden	Be stuck for words	kewortefinden	13
Hier sieht’s aus wie im Schweinestall	This place looks like a pigsty	hiersiehtsauswieimschweinestall	31
Die Ärmel hochkrempeln	Roll up one’s sleeves	dieärmelhochkrempeln	20
Nur über meine Leiche	Over my dead body	nurübermeineleiche	18
Jmdm. im Weg sein	Be under s.o.’s feet // be in s.o.’s way	jmdmimwegsein	13
Wie ich schnell feststellte	As I was quick to discover	wieichschnellfeststellte	24
Den Geist aufgeben	Give up the ghost	dengeistaufgeben	16
Noch in den Kinderschuhen stecken	Be still in one’s infancy	nochindenkinderschuhenstecken	29
Noch in den Windeln stecken	Be still in one’s nappies	nochindenwindelnstecken	23
Anwesende ausgenommen	Present company excluded	anwesendeausgenommen	20
Ehre, wem Ehre gebührt.	Honour to whom honour is due.	ehrewemehregebührt	18
Alles zu seiner Zeit.	All in good time.	alleszuseinerzeit	17
Ich habe freudige Nachrichten für dich	I bring you tidings of great joy	ichhabefreudigenachrichtenfürdich	33
Zu meiner Freude	My joy	zumeinerfreude	14
Es ist nicht abzusehen, was ...	There is no telling what ...	esistnichtabzusehenwas	22
Blinder Eifer schadet nur.	Haste makes waste.	blindereiferschadetnur	22
Wir wollen / lasst uns nichts überstürzen	Don’t let’s be hasty	wirwollenlasstunsnichtsüberstürzen	34
Übereile nichts	Don’t rush it	übereilenichts	14
Kleider machen Leute.	Clothes make the man.	kleidermachenleute	18
Nörgler	Grumbler	nörgler	7
Mürrisch	Grumpy	mürrisch	8
Düster dreinblicken	Look sullen/sulky/gloomy/sombre	düsterdreinblicken	18
Guck nicht so mürrisch/verdrießlich.	Don’t look so glum.	gucknichtsomürrischverdrießlich	31
Hör auf zu nörgeln	Stop nagging	höraufzunörgeln	15
Sei nicht so schlafmützig/langweilig	Don’t be so stuffy	seinichtsoschlafmütziglangweilig	32
Es ist sehr muffig/stickig hier drin	It’s very stuffy in here	esistsehrmuffigstickighierdrin	30
Ich bin ganz/total ausgehungert	I’m absolutely famished	ichbinganztotalausgehungert	27
(und) es kommt noch besser	And it gets better	undeskommtnochbesser	20
Es kommt noch schlimmer	Worse is to come // the news grows worse	eskommtnochschlimmer	20
... und um es noch schlimmer zu machen ...	And add insult to injury	undumesnochschlimmerzumachen	28
Ich bin zu allem bereit	I’m game for everything/anything	ichbinzuallembereit	19
Ich bin für alles zu haben	I’m game for everything/anything	ichbinfüralleszuhaben	21
Der Satz spricht Bände	That phrase speaks volumes	dersatzsprichtbände	19
Die Geschichte gibt ihm recht	History gives him reason	diegeschichtegibtihmrecht	25
Alles deutet darauf hin, dass ...	All the signs are that ...	allesdeutetdaraufhindass	24
Es gibt böses Blut	There is bad blood	esgibtbösesblut	15
Wir haben schon so genug um die Ohren	We have enough on our plates as it is	wirhabenschonsogenugumdieohren	30
Das/es ist nicht seine Art	It’s not within his character // it’s not his way // it’s not like him	dasesistnichtseineart	21
Er ist absolut nicht der Typ dazu	It’s absolutely not in his nature	eristabsolutnichtdertypdazu	27
Schlauberger	Clever Dick	schlauberger	12
Er ist von der alten Schule	He is of the old school	eristvonderaltenschule	22
Jmdm. durch die Maschen gehen	Slip past s.o. // give s.o. the slip	jmdmdurchdiemaschengehen	24
Das ist nicht seine Stärke	That is not his strength / strong point / forte	dasistnichtseinestärke	22
... geht vor ...	Comes first	gehtvor	7
Eine Erfrischung anbieten	Offer a refreshment	eineerfrischunganbieten	23
Findest du nicht?	Don’t you find?	findestdunicht	14
Schilda - Schildbürger	Gotham - Gothamite	schildaschildbürger	19
Mein Geheimnis ist bei ihm sicher	My secret is safe with him	meingeheimnisistbeiihmsicher	28
Meine Knie wurden weich	My knees turned to jelly	meinekniewurdenweich	20
Jmds. Chancen bei jmdm.	S.o.’s chances with s.o.	jmdschancenbeijmdm	18
Es geht doch nichts über ...	Nothing like ..., is there?	esgehtdochnichtsüber	20
Hereinplatzen	Barge in	hereinplatzen	13
Sich vordrängeln	Barge in	sichvordrängeln	15
Familienzuwachs bekommen	Have an addition to the family	familienzuwachsbekommen	23
Werdende Mutter	Expectant mother	werdendemutter	14
Alles lächerlich machen	Make everything a joke	alleslächerlichmachen	21
Sich im Grabe umdrehen	Roll/turn in one’s grave	sichimgrabeumdrehen	19
Jmdn. ins Grab bringen	Put s.o. in his grave	jmdninsgrabbringen	18
Das musst du beurteilen	That is up to you to judge	dasmusstdubeurteilen	20
Die letzten Hürden nehmen	Clear the last hurdles	dieletztenhürdennehmen	22
Große Anstrengungen unternehmen, um etwas zu tun	Go to great lengths to do s.th.	großeanstrengungenunternehmenumetwaszutun	41
Alles daransetzen, etwas zu tun	Go out of one’s way to do s.th.	allesdaransetzenetwaszutun	26
Das geht über meinen Verstand	That’s beyond my comprehension // that’s beyond me	dasgehtübermeinenverstand	25
Es ist unglaublich	It is beyond belief	esistunglaublich	16
Soweit ich weiß	The best of my knowledge, as far as I know	soweitichweiß	13
Das zweifelhafte Vergnügen haben, etwas zu tun	Have the dubious delights/pleasure of doing s.th.	daszweifelhaftevergnügenhabenetwaszutun	39
Liebling, hab ein Herz	Darling, have a heart	lieblinghabeinherz	18
Ich werde daraus nicht schlau	I can’t make head or tail of it	ichwerdedarausnichtschlau	25
Er ist etwas wack(e)lig auf den Beinen	He’s a bit wobbly on his legs	eristetwaswackeligaufdenbeinen	30
Ein großes Risiko eingehen	Take a big/great risk	eingroßesrisikoeingehen	23
Viel wagen	Take a big/great risk	vielwagen	9
Jmdm. in die Hände spielen	Play into s.o.’s hands // play ball with s.o.	jmdmindiehändespielen	21
Es liegt in deinen Händen	It lies in your hands	esliegtindeinenhänden	21
Sie hören von uns. Sie werden von uns hören.	You’ll be hearing from us.	siehörenvonunssiewerdenvonunshören	34
Jmdm. den Boden unter den Füßen wegziehen	Pull the rug out from under s.o.	jmdmdenbodenunterdenfüßenwegziehen	34
Möchten Sie etwas trinken?	Would you care for a drink?	möchtensieetwastrinken	22
Ein Versuch kostet nichts	There is no harm in trying	einversuchkostetnichts	22
Das Land geht vor die Hunde	The country is going to the dogs	daslandgehtvordiehunde	22
Vergeben und vergessen	Forgive and forget	vergebenundvergessen	20
Jmdn. anmachen	Mess with s.o.	jmdnanmachen	12
Eine Frau anquatschen/anmachen	Chat up a woman	einefrauanquatschenanmachen	27
Jmdm. einen Korb geben	Turn s.o. down	jmdmeinenkorbgeben	18
Seine Frau betrügen	Cheat on one’s wife	seinefraubetrügen	17
Seiner Frau davonlaufen	Run out on one’s wife	seinerfraudavonlaufen	21
Meine Alte	My old woman	meinealte	9
Sie sind ein recht ungleiches Paar	They are a pretty uneven match	siesindeinrechtungleichespaar	29
Zwei Menschen auseinanderbringen	Break up two persons	zweimenschenauseinanderbringen	30
Zwei Leute wieder zusammenbringen	Patch up things between two people	zweileutewiederzusammenbringen	30
Eine Ehe zerbricht	A marriage breaks up	eineehezerbricht	16
Die Belastung ihrer Ehe	The cost to their marriage	diebelastungihrerehe	20
Sich die Zeit vertreiben	While away the hours	sichdiezeitvertreiben	21
Zeit schinden	Play for time	zeitschinden	12
Verzögerungstaktik	Delaying tactics	verzögerungstaktik	18
Keine Ablenkungsmanöver!	No red herrings!	keineablenkungsmanöver	22
Etwas aus reiner Gewohnheit tun	Do s.th. out of pure habit	etwasausreinergewohnheittun	27
In aller Bescheidenheit	In all modesty	inallerbescheidenheit	21
In schlechte Gesellschaft geraten	Get into bad company	inschlechtegesellschaftgeraten	30
Das ist verdammt anständig von Ihnen	That’s damn decent of you	dasistverdammtanständigvonihnen	31
Es wird dir wieder einfallen	It will come back to you	eswirddirwiedereinfallen	24
